MuseumName,EtageName,RaumName,Kunstobjekt,Farbe,Material,Künstler,Titel
Landesbibliothek,Erdgeschoss,Ägypten,Gemälde,Blau;Gelb;Grün,,Van Gogh,Der Schrei
Landesbibliothek,Erdgeschoss,Ägypten,Gemälde,Violett;Rot;Grün,,Pollock,Frühling
Landesbibliothek,Erdgeschoss,Ägypten,Skulptur,,Marmor,Michelangelo,David
Landesbibliothek,Erdgeschoss,Ägypten,Skulptur,,Schiefer;Stahl;Glas,Alfredo Tutti,Kapitalismus
Landesbibliothek,Erdgeschoss,Ägypten,Skulptur,,Stahl;Marmor;Holz,Elfriede Koch,Das Entschwinden
Landesbibliothek,Erdgeschoss,Antike,Skulptur,,Speckstein;Holz,Karin Weidegger,Installation Nr.3
Landesbibliothek,Erdgeschoss,Antike,Gemälde,Violett;Grün;Rot;Aquamarin;Blau,,Alf,Die Katze
Landesbibliothek,Erdgeschoss,Antike,Skulptur,,Asphalt;Granit;Holzkohle,Bocksi,Money
Landesbibliothek,Erdgeschoss,Antike,Gemälde,Grau;Rubinrot;Eierschale,,Pollock,Montag
Landesbibliothek,Erdgeschoss,Antike,Skulptur,,,Elfriede Koch,Das Nichts
Landesbibliothek,Erdgeschoss,Antike,Skulptur,,Wasser;Glas;Holz,Scaramuchi,Meerjungfrau

